
Ribble Valley Line |                                                                                                                    Blackburn – Darwen –             Bromley Cross – Hall i' th' Wood – Bolton – Salford Crescent – Salford Central – Manchester Victoria – Moston – Mills Hill – Castleton – Rochdale | 1tph
Ribble Valley Line |                                                            Clitheroe – Whalley – Langho – Ramsgreave & Wilpshire – Blackburn – Darwen – Entwistle – Bromley Cross – Hall i' th' Wood – Bolton – Salford Crescent – Salford Central – Manchester Victoria – Moston – Mills Hill – Castleton – Rochdale | 1tph
Ribble Valley Line | Ribblehead – Horton in Ribblesdale – Settle – Hellifield – Clitheroe – Whalley – Langho – Ramsgreave & Wilpshire – Blackburn – Darwen –             Bromley Cross – Hall i' th' Wood – Bolton – Salford Crescent – Salford Central – Manchester Victoria – Moston – Mills Hill – Castleton – Rochdale | limited saturday service

Huddersfield Line | Leeds – Cottingley – Morley – Batley – Dewsbury – Ravensthorpe – Mirfield – Brighouse – Halifax – Low Moor – Bradford Interchange | 1tph

Leeds-Bradford Line | Leeds – Kirkstall Forge – Apperley Bridge – Shipley – Frizinghall – Bradford Forster Square | 2tph

Wharfedale Line | Leeds –                                                     Guiseley – Menston – Burley-in-Wharfedale – Ben Rhydding – Ilkley | 2tph
Wharfedale Line | Bradford Forster Square – Frizinghall – Shipley – Baildon – Guiseley – Menston – Burley-in-Wharfedale – Ben Rhydding – Ilkley | 2tph

Airedale Line | Leeds –                                 Shipley – Saltaire – Bingley – Crossflatts – Keighley – Steeton & Silsden – Cononley – Skipton | 2tph
Airedale Line | Bradford Forster Square – Frizinghall – Shipley – Saltaire – Bingley – Crossflatts – Keighley – Steeton & Silsden – Cononley – Skipton | 2tph

Harrogate Line | Leeds – Burley Park – Headingley – Horsforth – Weeton – Pannal – Hornbeam Park – Harrogate – Starbeck – Knaresborough – Cattal – Hammerton – Poppleton – Harrogate | 2tph

Pontefract Line | Leeds – Woodlesford – Castleford – Glasshoughton –                                                   Pontefract Monkhill – Knottingley | 1tph
Pontefract Line | Leeds – Woodlesford – Castleford – Glasshoughton –                                                   Pontefract Monkhill – Knottingley – Whitley Bridge – Hensall – Snaith – Rawcliffe – Goole | 2tpd
Pontefract Line | Leeds – Wakefield Westgate – Wakefield Kirkgate – Streethouse – Featherstone – Pontefract Tanshelf – Pontefract Monkhill – Knottingley | 1tph

Wakefield Line | Leeds – Outwood – Wakefield Westgate – Sandal & Agbrigg – Fitzwilliam – South Elmsall – Adwick – Bentley – Doncaster | 1tph
Wakefield Line | Leeds – Outwood – Wakefield Westgate – Sandal & Agbrigg – Fitzwilliam – Moorthorpe – Thurnscoe – Goldthorpe – Bolton-upon-Dearne – Swinton – Rotherham Central – Meadowhall – Sheffield | 1tph
Wakefield Line | Leeds –           Wakefield Westgate –                                                                                                                                        Sheffield | 1tph

Penistone Line | Sheffield – Meadowhall – Chapeltown – Elsecar – Wombwell – Barnsley – Dodworth – Silkstone Common – Penistone – Denby Dale – Shepley – Stocksmoor – Brockholes – Honley – Berry Brow – Lockwood – Huddersfield | 1tph

Hallam Line | Leeds – Woodlesford – Castleford – Normanton – Wakefield Kirkgate – Darton – Barnsley – Wombwell – Elsecar – Chapeltown – Meadowhall – Sheffield | 1tph

Erewash Valley Line | Leeds – Nottingham || 1 || Wakefield Kirkgate – Barnsley – Meadowhall – Sheffield – Dronfield – Chesterfield – Alfreton – Langley Mill – Ilkeston – Nottingham | 1tph

Lincoln Line | Leeds - Wakefield Kirkgate – Barnsley – Meadowhall – Sheffield – Darnall – Woodhouse – Kiveton Bridge – Kiveton Park – Shireoaks – Worksop – Retford – Gainsborough Lea Road – Saxilby – Lincoln | 1tph

Pilgrim Line | Sheffield – Worksop – Retford – Gainsborough Central – Kirton Lindsey – Brigg – Barnetby – Grimsby Town – Cleethorpes | 1tpd

York Line | Leeds – Cross Gates – Garforth – East Garforth – Micklefield – York

Selby Line | Halifax – Bradford Interchange – New Pudsey – Bramley – Leeds – Cross Gates – Garforth – East Garforth – Micklefield – South Milford – Selby – Brough – Hull Paragon

South Humberside Line | Doncaster – Kirk Sandall – Hatfield & Stainforth – Thorne South – Crowle – Althorpe – Scunthorpe | 0.5tph

Rotherham Line | Sheffield – Meadowhall – Rotherham Central – Swinton – Mexborough – Conisbrough – Doncaster – Bentley – Adwick | 1tph

Dearne Valley Line | Sheffield – Meadowhall – Rotherham Central – Swinton – Moorthorpe – Pontefract Baghill – Sherburn-in-Elmet – Church Fenton – Ulleskelf – York | 3tpd

Yorkshire Coast Line |                          Doncaster – Kirk Sandall – Hatfield & Stainforth – Thorne North – Goole –              Gilberdyke – Broomfleet – Brough – Ferriby – Hessle – Hull Paragon | 0.5tph
Yorkshire Coast Line |                          Doncaster – Kirk Sandall – Hatfield & Stainforth – Thorne North – Goole – Saltmarshe – Gilberdyke –              Brough – Ferriby – Hessle – Hull Paragon | 0.5tph
