
Northumberland Line || Newcastle - Manors (1tph) - Seaton Delaval - Newsham - Ashington || 2tph
Ribble Valley Line || Clitheroe - Whalley - Langho - Ramsgreave & Wilpshire - Blackburn - Darwen - Entwistle - Bromley Cross - Hall i' th' Wood - Bolton - Salford Crescent - Salford Central - Manchester Victoria - Moston - Mills Hill - Castleton - Rochdale || 1tph

Huddersfield Line (Leeds) || Leeds - Cottingley - Morley - Batley - Dewsbury - Ravensthorpe - Mirfield - Deighton - Huddersfield || 1tph

Huddersfield Line (Bradford) || Bradford Interchange - Low Moor - Halifax - Brighouse - Huddersfield || 1tph

Leeds - Bradford Line || Leeds - Kirkstall Forge - Apperley Bridge - Shipley - Frizinghall - Bradford Forster Square || 2tph

Wharfedale Line (Leeds) || Leeds - Kirkstall Forge - Guiseley - Menston - Burley-in-Wharfedale - Ben Rhydding - Ilkley || 2tph

Wharfedale Line (Bradford) || Bradford Forster Square - Frizinghall - Shipley - Baildon - Guiseley - Menston - Burley-in-Wharfedale - Ben Rhydding - Ilkley || 2tph

Airedale Line (Leeds) || Leeds - Shipley - Saltaire - Bingley - Crossflatts - Keighley - Steeton & Silsden - Cononley - Skipton || 2tph

Airedale Line (Bradford) || Bradford Forster Square - Frizinghall - Shipley - Saltaire - Bingley - Crossflatts - Keighley - Steeton & Silsden - Cononley - Skipton || 2tph

Harrogate Line || Leeds - Burley Park - Headingley - Horsforth - Weeton - Pannal - Hornbeam Park - Harrogate - Starbeck - Knaresborough - Cattal - Hammerton - Poppleton - York || 2tph

Pontefract Line (Castleford) || Leeds - Woodlesford - Castleford - Glasshoughton - Pontefract Monkhill - Knottingley || 1tph
Pontefract Line (Castleford) || Leeds - Woodlesford - Castleford - Glasshoughton - Pontefract Monkhill - Knottingley - Whitley Bridge - Hensall - Snaith and Rawcliffe - Goole || 2tpd

Pontefract Line (Wakefield) || Leeds - Wakefield Westgate - Wakefield Kirkgate - Streethouse - Featherstone - Pontefract Tanshelf - Pontefract Monkhill - Knottingley || 1tph

Wakefield Line (Doncaster) || Leeds - Outwood - Wakefield Westgate - Sandal & Agbrigg - Fitzwilliam - South Elmsall - Adwick - Bentley - Doncaster || 1tph

Wakefield Line (Sheffield) || Leeds - Outwood - Wakefield Westgate - Sandal & Agbrigg - Fitzwilliam - Moorthorpe - Thurnscoe - Goldthorpe - Bolton-upon-Dearne - Swinton - Rotherham Central - Meadowhall -  Sheffield || 1tph

Penistone Line || Sheffield - Meadowhall - Chapeltown - Elsecar - Wombwell - Barnsley - Dodworth - Silkstone Common - Penistone - Denby Dale - Shepley - Stocksmoor - Brockholes - Honley - Berry Brow - Lockwood - Huddersfield || 1tph

Hallam Line || Leeds - Woodlesford - Castleford - Normanton - Wakefield Kirkgate - Darton - Barnsley - Wombwell - Elsecar - Chapeltown - Meadowhall - Sheffield || 1tph

Erewash Valley Line || Leeds - Wakefield Kirkgate - Barnsley - Meadowhall - Sheffield - Dronfield - Chesterfield - Alfreton - Langley Mill - Ilkeston - Nottingham || 1tph

Lincoln Line || Leeds - Wakefield Kirkgate - Barnsley - Meadowhall - Sheffield - Darnall - Woodhouse - Kiveton Bridge - Kiveton Park - Shireoaks - Worksop - Retford - Gainsborough Lea Road - Saxilby - Lincoln || 1tph

Pilgrim Line || Sheffield - Worksop - Retford - Gainsborough Central - Kirton Lindsey - Brigg - Barnetby - Grimsby Town - Cleethorpes || 1tpd

York Line || Leeds - Cross Gates - Garforth - East Garforth - Micklefield - York || 1tph

Selby Line || Halifax - Bradford Interchange - New Pudsey - Bramley - Leeds - Cross Gates - Garforth - East Garforth - Micklefield - South Milford - Selby - Brough - Hull Paragon || 1tph

South Humberside Line || Doncaster - Kirk Sandall - Hatfield & Stainforth - Thorne South - Crowle - Althorpe - Scunthorpe || 1tp2h

Rotherham Line || Sheffield - Meadowhall - Rotherham Central - Swinton - Mexborough - Conisbrough - Doncaster - Bentley - Adwick || 1tph

Dearne Valley Line || Sheffield - Meadowhall - Rotherham Central - Swinton - Moorthorpe - Pontefract Baghill - Sherburn-in-Elmet - Church Fenton - Ulleskelf - York || 3tpd

Yorkshire Coast Line ||                          Doncaster - Kirk Sandall - Hatfield & Stainforth - Thorne North - Goole - Saltmarshe (1tp2h) - Gilberdyke - Broomfleet (1tp2h) - Brough - Ferriby - Hessle - Hull Paragon || 1tph
Yorkshire Coast Line || Sheffield - Meadowhall - Doncaster -                                                       Goole -                                                        Brough -                    Hull Paragon - Cottingham - Beverley - Driffield - Bridlington - Bempton - Hunmanby - Filey - Seamer - Scarborough || 1tph

Yorkshire Wolds Line || Bridlington - Nafferton - Driffield - Hutton Cranswick - Beverley - Cottingham - Hull Paragon - Brough - Gilberdyke - Howden - Selby - Sherburn-in-Elmet (1tp2h) - Church Fenton (1tp2h) - York || 1tph

Roses Line || York - Church Fenton - Garforth - Leeds - New Pudsey - Bradford Interchange - Halifax - Sowerby Bridge - Hebden Bridge - Burnley Manchester Road - Accrington - Blackburn - Preston - Kirkham & Wesham - Poulton-le-Fylde - Blackpool North || 1tpg

Atherton Line || Leeds - Morley - Batley - Dewsbury - Ravensthorpe - Mirfield - Brighouse - Sowerby Bridge - Mytholmroyd - Hebden Bridge - Todmorden - Walsden - Littleborough - Smithy Bridge - Rochdale - Manchester Victoria - Salford Central - Salford Crescent - Swinton - Moorside - Walkden - Atherton - Hag Fold - Daisy Hill - Hindley - Ince - Wigan Wallgate || 1tph

Calderdale Line || Leeds - Bramley - New Pudsey - Bradford Interchange -            Halifax -                                Hebden Bridge - Todmorden - Rochdale - Manchester Victoria || 1tph
Calderdale Line || Leeds - Bramley - New Pudsey - Bradford Interchange - Low Moor - Halifax - Sowerby Bridge - Mytholmroyd - Hebden Bridge - Todmorden - Rochdale - Manchester Victoria - Newton-le-Willows - Earlestown - Warrington Bank Quay - Chester || 1tph
